Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,AD5500OKHJBOX,AMD,A8-5500 APU,554,38.2,4696,https://cpu.userbenchmark.com/SpeedTest/3432/AMD-A8-5500-APU-with-Radeontm-HD-Graphics
CPU,AD5700OKHJBOX,AMD,A10-5700 APU (2012 D.Tr),512,40.1,3030,https://cpu.userbenchmark.com/AMD-A10-5700-APU-2012-DTr/Rating/2939
CPU,AD580KWOHJBOX,AMD,A10-5800K APU (2012 D.Tr),441,44.2,9927,https://cpu.userbenchmark.com/AMD-A10-5800K-APU-2012-DTr/Rating/2007
CPU,AD6700OKHLBOX,AMD,A10-6700 APU (2013 D.Ri),409,45.6,5173,https://cpu.userbenchmark.com/AMD-A10-6700-APU-2013-DRi/Rating/2938
CPU,AD680KWOHLBOX,AMD,A10-6800K APU (2013 D.Ri),392,46.7,6953,https://cpu.userbenchmark.com/AMD-A10-6800K-APU-2013-DRi/Rating/2936
CPU,AD750KWOHJBOX,AMD,Athlon II X4 750K,499,41,3313,https://cpu.userbenchmark.com/AMD-Athlon-II-X4-750K/Rating/1548
CPU,AD765KXBJABOX,AMD,A8-7650K APU (2014 D.Ka),462,42.7,5278,https://cpu.userbenchmark.com/SpeedTest/27184/AMD-A8-7650K-Radeon-R7-10-Compute-Cores-4C-6G
CPU,AD785KXBJABOX,AMD,A10-7850K APU (2014 D.Ka),411,45.6,9990,https://cpu.userbenchmark.com/AMD-A10-7850K-APU-2014-DKa/Rating/2937
CPU,AD786KYBJCSBX,AMD,A10-7860K APU (2014 D.Ka),450,43.4,6356,https://cpu.userbenchmark.com/SpeedTest/83781/AMD-A10-7860K-Radeon-R7-12-Compute-Cores-4C-8G
CPU,AD787KXDJCBOX,AMD,A10-7870K APU (2014 D.Ka),385,47.2,6364,https://cpu.userbenchmark.com/SpeedTest/29728/AMD-A10-7870K-Radeon-R7-12-Compute-Cores-4C-8G
CPU,AD789KXDJCHBX,AMD,A10-7890K APU (2014 D.Ka),368,48.4,3509,https://cpu.userbenchmark.com/SpeedTest/118648/AMD-A10-7890K-Radeon-R7-12-Compute-Cores-4C-8G
CPU,AD845XACKASBX,AMD,Athlon X4 845,352,49.6,3667,https://cpu.userbenchmark.com/SpeedTest/84491/AMD-Athlontm-X4-845-Quad-Core-Processor
CPU,AD860KXBJASBX,AMD,Athlon II X4 860K,408,45.7,16626,https://cpu.userbenchmark.com/AMD-Athlon-II-X4-860K/Rating/3265
CPU,AD870KXBJCSBX,AMD,Athlon II X4 870K,403,46.1,764,https://cpu.userbenchmark.com/SpeedTest/83847/AMD-Athlontm-X4-870K-Quad-Core-Processor
CPU,AD880KXBJCSBX,AMD,Athlon X4 880K,374,47.8,3841,https://cpu.userbenchmark.com/SpeedTest/121029/AMD-Athlontm-X4-880K-Quad-Core-Processor
CPU,AD9500AGABBOX,AMD,A6-9500 APU (2016 D.BR),661,31.7,573,https://cpu.userbenchmark.com/SpeedTest/302063/AMD-A6-9500-RADEON-R5-8-COMPUTE-CORES-2C-6G
CPU,AD9500AHABBOX,AMD,A6-9500E APU (2016 D.BR),701,28.8,85,https://cpu.userbenchmark.com/SpeedTest/340618/AMD-A6-9500E-RADEON-R5-6-COMPUTE-CORES-2C-4G
CPU,AD9600AGABBOX,AMD,A8-9600 APU (2016 D.BR),421,45.3,2664,https://cpu.userbenchmark.com/SpeedTest/339630/AMD-A8-9600-RADEON-R7-10-COMPUTE-CORES-4C-6G
CPU,AD9700AGABBOX,AMD,A10-9700 APU (2016 M.BR),380,47.5,2626,https://cpu.userbenchmark.com/SpeedTest/262171/AMD-A10-9700-RADEON-R7-10-COMPUTE-CORES-4C-6G
CPU,AD9700AHABBOX,AMD,A10-9700E APU (2016 D.BR),447,43.7,111,https://cpu.userbenchmark.com/SpeedTest/348934/AMD-A10-9700E-RADEON-R7-10-COMPUTE-CORES-4C-6G
CPU,AD9800AHABBOX,AMD,A12-9800E APU (2016 M.BR),410,45.6,144,https://cpu.userbenchmark.com/SpeedTest/345210/AMD-A12-9800E-RADEON-R7-12-COMPUTE-CORES-4C-8G
CPU,AD9800AUABBOX,AMD,A12-9800 APU (2016 M.BR),334,51.6,1569,https://cpu.userbenchmark.com/SpeedTest/283761/AMD-A12-9800-RADEON-R7-12-COMPUTE-CORES-4C-8G
CPU,AM9200AKN23AC,AMD,A6-9200 APU (2016 M.SR),888,19.8,387,https://cpu.userbenchmark.com/SpeedTest/252093/AMD-A6-9200-RADEON-R4-5-COMPUTE-CORES-2C-3G
CPU,AM9210AVY23AC,AMD,A6-9210 APU (2016 M.SR),847,21.5,374,https://cpu.userbenchmark.com/SpeedTest/180033/AMD-A6-9210-RADEON-R4-5-COMPUTE-CORES-2C-3G
CPU,AM9220AYN23AC,AMD,A6-9220 APU (2016 M.SR),841,21.7,1739,https://cpu.userbenchmark.com/SpeedTest/300155/AMD-A6-9220-RADEON-R4-5-COMPUTE-CORES-2C-3G
CPU,AM960PADY44AB,AMD,A10-9600P APU (2016 M.BR),672,30.7,5619,https://cpu.userbenchmark.com/SpeedTest/136279/AMD-A10-9600P-RADEON-R5-10-COMPUTE-CORES-4C-6G
CPU,AM963PAEY44AB,AMD,A10-9630P APU (2016 M.BR),546,38.6,245,https://cpu.userbenchmark.com/SpeedTest/192670/AMD-A10-9630P-RADEON-R5-10-COMPUTE-CORES-4C-6G
CPU,AM970PADY44AB,AMD,A12-9700P APU (2016 M.BR),638,33.2,2835,https://cpu.userbenchmark.com/SpeedTest/148571/AMD-A12-9700P-RADEON-R7-10-COMPUTE-CORES-4C-6G
CPU,AM973PAEY44AB,AMD,A12-9730P APU (2016 M.BR),477,42.1,120,https://cpu.userbenchmark.com/SpeedTest/236011/AMD-A12-9730P-RADEON-R7-10-COMPUTE-CORES-4C-6G
