Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,0F23267,HGST,Ultrastar He8 Helium 8TB,21,91.6,305,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,0F23668,HGST,Ultrastar He8 Helium 8TB,21,91.6,305,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,0S03664,HGST,Deskstar NAS 4TB,123,72.2,2788,https://hdd.userbenchmark.com/HGST-Deskstar-NAS-4TB/Rating/1971
HDD,0S03835,HGST,Deskstar NAS 5TB,46,86.3,293,https://hdd.userbenchmark.com/SpeedTest/36844/HGST-HDN726050ALE610
HDD,0S03839,HGST,Deskstar NAS 6TB,20,91.9,448,https://hdd.userbenchmark.com/SpeedTest/22222/HGST-HDN726060ALE610
HDD,HD103SJ,Samsung,Spinpoint F3 1TB,189,60.8,77429,https://hdd.userbenchmark.com/Samsung-Spinpoint-F3-1TB/Rating/1848
HDD,HD103UJ,Samsung,Spinpoint F1 1TB,378,46.6,30717,https://hdd.userbenchmark.com/SpeedTest/413/SAMSUNG-HD103UJ
HDD,HD154UI,Samsung,Spinpoint F2 1TB,396,45.7,13600,https://hdd.userbenchmark.com/SpeedTest/1306/SAMSUNG-HD154UI
HDD,HD203WI,Samsung,Spinpoint F3 2TB,445,43.6,1770,https://hdd.userbenchmark.com/SpeedTest/640/SAMSUNG-HD203WI
HDD,HD204UI,Samsung,Spinpoint F4 2TB,237,56,20349,https://hdd.userbenchmark.com/SpeedTest/324/SAMSUNG-HD204UI
HDD,HD501LJ,Samsung,Spinpoint T166 500GB,611,34.8,20075,https://hdd.userbenchmark.com/SpeedTest/946/SAMSUNG-HD501LJ
HDD,HD753LJ,Samsung,Spinpoint F1 750GB,443,43.7,14087,https://hdd.userbenchmark.com/SpeedTest/1245/SAMSUNG-HD753LJ
HDD,HDP725016GLA380,Hitachi,Deskstar P7K500 160GB,662,33.2,1409,https://hdd.userbenchmark.com/SpeedTest/3051/Hitachi-HDP725016GLA380
HDD,HDP725025GLA380,Hitachi,Deskstar P7K500 250GB,558,37.4,4388,https://hdd.userbenchmark.com/SpeedTest/372/Hitachi-HDP725025GLA380
HDD,HDP725032GLA360,Hitachi,Deskstar P7K500 320GB,602,35.1,2693,https://hdd.userbenchmark.com/SpeedTest/3494/Hitachi-HDP725032GLA360
HDD,HDP725040GLA360,Hitachi,Deskstar P7K500 400GB,589,35.8,345,https://hdd.userbenchmark.com/SpeedTest/5788/Hitachi-HDP725040GLA360
HDD,HDP725050GLA360,Hitachi,Deskstar P7K500 500GB,498,40.9,18244,https://hdd.userbenchmark.com/SpeedTest/745/Hitachi-HDP725050GLA360
HDD,HDS721010CLA332,Hitachi,Deskstar 7K1000.C 1TB,223,57.2,37474,https://hdd.userbenchmark.com/SpeedTest/1129/Hitachi-HDS721010CLA332
HDD,HDS723030ALA640,Hitachi,Deskstar 7K3000 3TB,134,69.9,2182,https://hdd.userbenchmark.com/Hitachi-Deskstar-7K3000-3TB/Rating/1373
HDD,HDWA120EZSTA,Toshiba,E300 2TB,130,71.4,711,https://hdd.userbenchmark.com/Toshiba-E300-2TB/Rating/3595
HDD,HDWA120XZSTA,Toshiba,E300 2TB,130,71.4,711,https://hdd.userbenchmark.com/Toshiba-E300-2TB/Rating/3595
HDD,HDWA130EZSTA,Toshiba,E300 3TB,115,74,453,https://hdd.userbenchmark.com/Toshiba-E300-3TB/Rating/3596
HDD,HDWA130XZSTA,Toshiba,E300 3TB,115,74,453,https://hdd.userbenchmark.com/Toshiba-E300-3TB/Rating/3596
HDD,HDWD105EZSTA,Toshiba,HDWD105 500GB,90,79.1,2154,https://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,HDWD105UZSVA,Toshiba,HDWD105 500GB,90,79.1,2154,https://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,HDWD105XZSTA,Toshiba,HDWD105 500GB,90,79.1,2154,https://hdd.userbenchmark.com/SpeedTest/67919/TOSHIBA-HDWD105
HDD,HDWD110EZSTA,Toshiba,P300 1TB,55,85.6,58810,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,HDWD110UZSVA,Toshiba,P300 1TB,55,85.6,58810,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,HDWD110XZSTA,Toshiba,P300 1TB,55,85.6,58810,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,HDWD120EZSTA,Toshiba,P300 2TB,22,91.3,25331,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWD120UZSVA,Toshiba,P300 2TB,22,91.3,25331,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWD120XZSTA,Toshiba,P300 2TB,22,91.3,25331,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWD130EZSTA,Toshiba,P300 3TB,29,90,17663,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,HDWD130UZSVA,Toshiba,P300 3TB,29,90,17663,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,HDWD130XZSTA,Toshiba,P300 3TB,29,90,17663,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,HDWE140EZSTA,Toshiba,X300 4TB,36,89,5273,https://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,HDWE140XZSTA,Toshiba,X300 4TB,36,89,5273,https://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,HDWE150EZSTA,Toshiba,X300 5TB,26,90.7,3304,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,HDWE150XZSTA,Toshiba,X300 5TB,26,90.7,3304,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,HDWE160EZSTA,Toshiba,X300 6TB,38,88.9,1354,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,HDWE160XZSTA,Toshiba,X300 6TB,38,88.9,1354,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,HM500JJ,Samsung,"Spinpoint MP4 2.5"" 500GB",408,45,652,https://hdd.userbenchmark.com/SpeedTest/1178/SAMSUNG-HM500JJ
HDD,HM640JJ,Samsung,"Spinpoint MP4 2.5"" 640GB",352,47.7,439,https://hdd.userbenchmark.com/SpeedTest/2214/SAMSUNG-HM640JJ
HDD,HTS541010A9E680,HGST,"Travelstar 5K1000 2.5"" 1TB",473,42.4,65023,https://hdd.userbenchmark.com/SpeedTest/72/HGST-HTS541010A9E680
HDD,HTS541075A9E680,HGST,"Travelstar 5K1000 2.5"" 750GB",531,38.8,11467,https://hdd.userbenchmark.com/SpeedTest/4988/HGST-HTS541075A9E680
HDD,HTS547575A9E384,Hitachi,Travelstar 5K750 750GB,582,36.1,17589,https://hdd.userbenchmark.com/SpeedTest/1367/Hitachi-HTS547575A9E384
HDD,HTS721010A9E630,HGST,"Travelstar 7K1000 2.5"" 1TB",179,62.8,230627,https://hdd.userbenchmark.com/SpeedTest/975/HGST-HTS721010A9E630
HDD,HTS727550A9E364,HGST,"Travelstar 7K750 2.5"" 500GB",437,43.9,3780,https://hdd.userbenchmark.com/SpeedTest/789/Hitachi-HTS727550A9E364
HDD,HTS727575A9E364,HGST,"Travelstar 7K750 2.5"" 750GB",298,51,8053,https://hdd.userbenchmark.com/SpeedTest/104/Hitachi-HTS727575A9E364
HDD,HUS156045VLS600,Hitachi,UltraStar 15K600 450GB,23,91.3,54,https://hdd.userbenchmark.com/SpeedTest/9674/HITACHI-HUS156045VLS600
HDD,HUS724020ALA640,Hitachi,UltraStar 7K4000 2TB,114,74.1,879,https://hdd.userbenchmark.com/SpeedTest/10357/HGST-HUS724020ALA640
HDD,HUS724030ALE640,Hitachi,UltraStar 7K4000 3TB,113,74.3,27,https://hdd.userbenchmark.com/SpeedTest/14588/Hitachi-HUS724030ALE640
HDD,MQ01ABD100H,Toshiba,"Notebook SSHD 2.5"" 1TB",229,56.6,1536,https://hdd.userbenchmark.com/Toshiba-Notebook-SSHD-25--1TB/Rating/1957
HDD,MQ02ABD100H,Toshiba,"Notebook SSHD 2.5"" 1TB",325,49.3,11293,https://hdd.userbenchmark.com/SpeedTest/24488/TOSHIBA-MQ02ABD100H
HDD,PH3300U-1I72,Toshiba,MD04ACA300 3TB,101,76.6,73,https://hdd.userbenchmark.com/SpeedTest/31118/TOSHIBA-MD04ACA300
HDD,PH3400U-1I72,Toshiba,MD04ACA400 4TB,69,82.9,3579,https://hdd.userbenchmark.com/Toshiba-MD04ACA400-4TB/Rating/3202
HDD,PH3500U-1I72,Toshiba,MD04ACA500 5TB,47,86.3,1537,https://hdd.userbenchmark.com/Toshiba-MD04ACA500-5TB/Rating/3526
HDD,PH3600U-1I72,Toshiba,MD04ACA600 6TB,45,86.4,177,https://hdd.userbenchmark.com/SpeedTest/35546/TOSHIBA-MD04ACA600
HDD,ST10000DM0004,Seagate,Barracuda Pro 10TB (2016),91,79,67,https://hdd.userbenchmark.com/Seagate-Barracuda-Pro-10TB-2016/Rating/3901
HDD,ST10000VN0004,Seagate,IronWolf 10TB (2016),107,75.7,36,https://hdd.userbenchmark.com/SpeedTest/161315/ST10000VN0004-1ZD101
HDD,ST10000VX0004,Seagate,SkyHawk 10TB (2016),79,81.3,26,https://hdd.userbenchmark.com/SpeedTest/192288/ST10000VX0004-1ZE101
HDD,ST1000DL002,Seagate,Barracuda Green 1TB,222,57.3,6173,https://hdd.userbenchmark.com/SpeedTest/1672/ST1000DL002-9TT153
HDD,ST1000DM000,Seagate,Desktop HDD 1TB (2013),252,55.4,844,https://hdd.userbenchmark.com/SpeedTest/3274/ST1000DM000-9TS15E
HDD,ST1000DM003,Seagate,Barracuda 7200.14 1TB,42,87.4,596955,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-1TB/Rating/1849
HDD,ST1000DM010,Seagate,Barracuda 1TB (2016),17,93.1,198240,https://hdd.userbenchmark.com/Seagate-Barracuda-1TB-2016/Rating/3896
HDD,ST1000DX001,Seagate,Desktop SSHD 1TB,62,83.9,47536,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-1TB/Rating/1784
HDD,ST1000DX002,Seagate,FireCuda SSHD 1TB (2016),74,82.5,20943,https://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-1TB-2016/Rating/3902
HDD,ST1000LM014,Seagate,"Laptop SSHD 2.5"" (32GB NAND) 1TB",257,55,236,https://hdd.userbenchmark.com/Seagate-Laptop-SSHD-25--32GB-NAND-1TB/Rating/3600
HDD,ST1000LM014,Seagate,"Laptop SSHD 2.5"" 1TB",329,49.1,32852,https://hdd.userbenchmark.com/Seagate-Laptop-SSHD-25--1TB/Rating/1804
HDD,ST1000LM024,Seagate,"Momentus 2.5"" 1TB",475,42.3,120670,https://hdd.userbenchmark.com/SpeedTest/130/ST1000LM024-HN-M101MBB
HDD,ST1000LX015,Seagate,"FireCuda 2.5"" 1TB",331,48.9,30144,https://hdd.userbenchmark.com/SpeedTest/193028/ST1000LX015-1U7172
HDD,ST1000NM0033,Seagate,Constellation ES.3 1TB,63,83.8,3628,https://hdd.userbenchmark.com/SpeedTest/7297/ST1000NM0033-9ZM173
HDD,ST1000VN002,Seagate,IronWolf 1TB (2016),76,82.4,395,https://hdd.userbenchmark.com/Seagate-IronWolf-1TB-2016/Rating/3904
HDD,ST1000VX000,Seagate,Video SV35.6 Series 1TB,43,87.3,6892,https://hdd.userbenchmark.com/SpeedTest/6250/ST1000VX-ST1000VX000-1CU1
HDD,ST1000VX005,Seagate,SkyHawk 1TB (2016),83,80,1505,https://hdd.userbenchmark.com/SpeedTest/225246/ST1000VX005-2EZ102
HDD,ST12000VN0007,Seagate,IronWolf 12TB (2017),95,77.9,8,https://hdd.userbenchmark.com/SpeedTest/408715/ST12000VN0007-2GS116
HDD,ST1500DL003,Seagate,Barracuda Green 1.5TB,270,54,8578,https://hdd.userbenchmark.com/SpeedTest/2196/ST1500DL003-9VT16L
HDD,ST2000DL001,Seagate,Barracuda Green 2TB,211,58.4,2758,https://hdd.userbenchmark.com/SpeedTest/447/ST2000DL001-9VT156
HDD,ST2000DL003,Seagate,Barracuda Green 2TB,216,58,36858,https://hdd.userbenchmark.com/SpeedTest/979/ST2000DL003-9VT166
