Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,SSDPED1D280GASX,Intel,900P Optane NVMe PCIe 280GB,1,459,959,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,SSDPE21D280GASX,Intel,900P Optane NVMe PCIe 280GB,1,459,959,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,SSDPED1D960GAX1,Intel,905P Optane NVMe PCIe 960GB,2,429,128,https://ssd.userbenchmark.com/SpeedTest/498903/INTEL-SSDPED1D960GAY
SSD,SSDPED1D480GASX,Intel,900P Optane NVMe PCIe 480GB,3,420,683,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,SSDPE21D480GASX,Intel,900P Optane NVMe PCIe 480GB,3,420,683,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,MZ-V7P512BW,Samsung,970 Pro NVMe PCIe M.2 512GB,4,339,24252,https://ssd.userbenchmark.com/SpeedTest/498971/Samsung-SSD-970-PRO-512GB
SSD,MZ-V7P1T0BW,Samsung,970 Pro NVMe PCIe M.2 1TB,5,337,7087,https://ssd.userbenchmark.com/SpeedTest/497261/Samsung-SSD-970-PRO-1TB
SSD,MZ-V7S1T0BW,Samsung,970 Evo Plus NVMe PCIe M.2 1TB,6,324,3933,https://ssd.userbenchmark.com/SpeedTest/693540/Samsung-SSD-970-EVO-Plus-1TB
SSD,MZ-V7S1T0B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 1TB,6,324,3933,https://ssd.userbenchmark.com/SpeedTest/693540/Samsung-SSD-970-EVO-Plus-1TB
SSD,MZ-V7E1T0BW,Samsung,970 Evo NVMe PCIe M.2 1TB,7,302,23371,https://ssd.userbenchmark.com/SpeedTest/494791/Samsung-SSD-970-EVO-1TB
SSD,MZ-V7E2T0BW,Samsung,970 Evo NVMe PCIe M.2 2TB,8,301,2855,https://ssd.userbenchmark.com/SpeedTest/501128/Samsung-SSD-970-EVO-2TB
SSD,ASX8200PNP-1TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 1TB,9,300,880,https://ssd.userbenchmark.com/SpeedTest/638791/ADATA-SX8200PNP
SSD,2YY47AA#ABC,HP,EX920 NVMe PCIe M.2 1TB,10,295,1577,https://ssd.userbenchmark.com/SpeedTest/488611/HP-SSD-EX920-1TB
SSD,ASX8200NP-960GT-C,Adata,XPG SX8200 NVMe PCIe M.2 960GB,11,295,1090,https://ssd.userbenchmark.com/SpeedTest/504709/ADATA-SX8200NP
SSD,AGAMMIXS11-480GT-C,XPG,Gammix S11 NVMe PCIe M.2 480GB,12,289,704,https://ssd.userbenchmark.com/SpeedTest/506229/XPG-GAMMIX-S11
SSD,MZ-V7S500BW,Samsung,970 Evo Plus NVMe PCIe M.2 500GB,13,289,8877,https://ssd.userbenchmark.com/SpeedTest/700020/Samsung-SSD-970-EVO-Plus-500GB
SSD,MZ-V7S500B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 500GB,13,289,8877,https://ssd.userbenchmark.com/SpeedTest/700020/Samsung-SSD-970-EVO-Plus-500GB
SSD,ASX8200NP-480GT-C,Adata,XPG SX8200 NVMe PCIe M.2 480GB,14,286,4884,https://ssd.userbenchmark.com/SpeedTest/482768/ADATA-SX8200NP
SSD,MKNSSDPL500GB-D8,Mushkin,Pilot NVMe PCIe M.2 500GB,15,285,457,https://ssd.userbenchmark.com/SpeedTest/517228/MKNSSDPL500GB-D8
SSD,MZ-V6P512BW,Samsung,960 Pro NVMe PCIe M.2 512GB,16,283,35152,https://ssd.userbenchmark.com/SpeedTest/182182/Samsung-SSD-960-PRO-512GB
SSD,MZ-V6P1T0BW,Samsung,960 Pro NVMe PCIe M.2 1TB,17,281,8547,https://ssd.userbenchmark.com/SpeedTest/200815/Samsung-SSD-960-PRO-1TB
SSD,MZ-V6P2T0BW,Samsung,960 Pro NVMe PCIe M.2 2TB,18,281,1635,https://ssd.userbenchmark.com/SpeedTest/215493/Samsung-SSD-960-PRO-2TB
SSD,SSDPEK1W060GA01,Intel,800p NVMe PCIe M.2 58GB,19,278,11,https://ssd.userbenchmark.com/SpeedTest/483445/NVMe-INTEL-SSDPEK1W06
SSD,SDSSDXPM2-1T00-G25,SanDisk,Extreme Pro NVMe PCIe M.2 1TB (2018),20,273,175,https://ssd.userbenchmark.com/SpeedTest/493695/SanDisk-Extreme-Pro-1TB
SSD,MZ-V7E500BW,Samsung,970 Evo NVMe PCIe M.2 500GB,21,270,75741,https://ssd.userbenchmark.com/SpeedTest/493995/Samsung-SSD-970-EVO-500GB
SSD,ASX8200PNP-512GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 512GB,22,262,1960,https://ssd.userbenchmark.com/SpeedTest/634807/ADATA-SX8200PNP
SSD,SSDPEK1W120GA01,Intel,800p NVMe PCIe M.2 118GB,23,261,47,https://ssd.userbenchmark.com/SpeedTest/489136/NVMe-INTEL-SSDPEK1W12
